"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:52:37:710PM)"
"U.S. Direct Investment Abroad,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  United Kingdom",3080                   ,3807                   ,4715                   ,4742                   ,4150                   ,6017                   ,8542                   ,7672                   ,8237                   ,5427                   ,4587                   ,9680                   ,7737                   ,10921                  ,12220                  ,13469                  ,11852                  ,13629                  ,19099                  ,9612                   ,11043                  ,13829                  ,16258                  ,22836                  ,26772                  ,21412                  ,24456                  ,30122                  ,28607                  ,28258                  ,32509                  ,33734                  ,36731                  
"  Other",65                      ,48                      ,8                       ,28                      ,19                      ,-13                     ,19                      ,35                      ,68                      ,57                      ,-47                     ,-36                     ,-214                    ,72                      ,430                     ,691                     ,270                     ,453                     ,704                     ,609                     ,749                     ,1073                   ,1228                   ,2069                   ,3007                   ,5762                   ,4954                   ,2899                   ,3712                   ,5178                   ,3460                   ,3097                   ,3021                   
"Latin America and Other Western Hemisphere",4553                   ,1877                   ,2585                   ,2704                   ,3595                   ,4266                   ,7480                   ,9245                   ,8685                   ,8993                   ,12073                  ,14275                  ,16546                  ,16210                  ,17762                  ,21723                  ,17019                  ,19686                  ,19796                  ,18006                  ,16583                  ,24480                  ,38419                  ,48049                  ,53532                  ,72600                  ,82092                  ,76771                  ,87054                  ,93425                  ,86980                  ,88436                  ,84208                  
"  South America",1939                   ,701                     ,1301                   ,1364                   ,2024                   ,2080                   ,3393                   ,4061                   ,2685                   ,2525                   ,4264                   ,6850                   ,7357                   ,7409                   ,8005                   ,9045                   ,4552                   ,3461                   ,3826                   ,1584                   ,1341                   ,4418                   ,8378                   ,10808                  ,14521                  ,18153                  ,20439                  ,16726                  ,20735                  ,21692                  ,17407                  ,14487                  ,11667                  
"    Argentina",232                     ,435                     ,20                      ,105                     ,435                     ,329                     ,370                     ,43                      ,405                     ,500                     ,518                     ,660                     ,921                     ,836                     ,913                     ,865                     ,626                     ,419                     ,130                     ,-955                    ,-992                    ,639                     ,1081                   ,1566                   ,1900                   ,1851                   ,1473                   ,688                     ,1292                   ,1720                   ,1297                   ,1055                   ,1023                   
"    Brazil",932                     ,31                      ,752                     ,925                     ,986                     ,1311                   ,2363                   ,3505                   ,1427                   ,931                     ,2325                   ,4946                   ,4577                   ,3759                   ,4172                   ,4965                   ,2807                   ,1180                   ,1621                   ,567                     ,837                     ,1465                   ,2624                   ,3554                   ,5253                   ,7617                   ,9251                   ,7152                   ,9986                   ,10685                  ,8335                   ,6549                   ,5024                   
"    Chile",-66                     ,42                      ,36                      ,57                      ,93                      ,130                     ,237                     ,303                     ,337                     ,321                     ,359                     ,256                     ,763                     ,1038                   ,1059                   ,1198                   ,577                     ,704                     ,626                     ,602                     ,557                     ,809                     ,773                     ,846                     ,1480                   ,4806                   ,4353                   ,3862                   ,4577                   ,3828                   ,3068                   ,3180                   ,2598                   
"    Colombia",220                     ,169                     ,189                     ,238                     ,183                     ,106                     ,182                     ,82                      ,342                     ,374                     ,457                     ,314                     ,413                     ,498                     ,576                     ,767                     ,131                     ,396                     ,448                     ,271                     ,361                     ,357                     ,550                     ,794                     ,852                     ,878                     ,1268                   ,864                     ,1239                   ,1412                   ,1342                   ,880                     ,766                     
"    Ecuador",58                      ,47                      ,88                      ,83                      ,84                      ,37                      ,4                       ,26                      ,29                      ,30                      ,9                       ,12                      ,32                      ,101                     ,101                     ,73                      ,65                      ,62                      ,61                      ,64                      ,122                     ,149                     ,301                     ,350                     ,171                     ,16                      ,62                      ,120                     ,134                     ,141                     ,52                      ,66                      ,144                     
"    Peru",229                     ,115                     ,88                      ,-57                     ,-12                     ,-48                     ,-106                    ,-131                    ,-122                    ,-17                     ,30                      ,17                      ,130                     ,362                     ,371                     ,303                     ,-143                    ,68                      ,49                      ,31                      ,97                      ,320                     ,1109                   ,1670                   ,1950                   ,1715                   ,1102                   ,1346                   ,1681                   ,1658                   ,1425                   ,980                     ,1176                   
"    Venezuela",329                     ,-157                    ,133                     ,61                      ,232                     ,209                     ,283                     ,111                     ,152                     ,276                     ,487                     ,542                     ,387                     ,631                     ,651                     ,799                     ,407                     ,538                     ,858                     ,909                     ,291                     ,603                     ,1861                   ,1934                   ,2784                   ,1073                   ,2606                   ,2671                   ,1662                   ,2068                   ,1665                   ,1613                   ,792                     
"    Other",5                       ,19                      ,-4                      ,-46                     ,24                      ,7                       ,61                      ,122                     ,115                     ,109                     ,80                      ,104                     ,133                     ,183                     ,163                     ,76                      ,81                      ,95                      ,33                      ,97                      ,67                      ,75                      ,79                      ,95                      ,131                     ,198                     ,323                     ,24                      ,166                     ,180                     ,222                     ,165                     ,145                     
"  Central America",509                     ,649                     ,978                     ,993                     ,973                     ,1748                   ,2117                   ,2423                   ,2981                   ,3267                   ,3601                   ,3582                   ,3669                   ,3460                   ,4291                   ,5602                   ,5629                   ,6802                   ,5162                   ,4682                   ,4782                   ,6206                   ,8029                   ,9686                   ,10404                  ,12797                  ,11206                  ,8919                   ,10283                  ,12662                  ,12351                  ,11874                  ,10976                  
"    Costa Rica",10                      ,18                      ,14                      ,2                       ,13                      ,30                      ,24                      ,30                      ,41                      ,27                      ,211                     ,150                     ,278                     ,343                     ,307                     ,252                     ,-78                     ,-8                      ,-16                     ,70                      ,49                      ,256                     ,353                     ,321                     ,194                     ,223                     ,119                     ,39                      ,230                     ,187                     ,198                     ,271                     ,177                     
"    Guatemala",8                       ,22                      ,16                      ,-7                      ,6                       ,4                       ,27                      ,15                      ,21                      ,8                       ,22                      ,30                      ,44                      ,47                      ,67                      ,72                      ,88                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Honduras",-9                      ,7                       ,-7                      ,13                      ,20                      ,48                      ,39                      ,22                      ,-8                      ,-7                      ,-31                     ,4                       ,-4                      ,26                      ,-2                      ,38                      ,-53                     ,20                      ,67                      ,35                      ,21                      ,62                      ,73                      ,64                      ,58                      ,49                      ,7                       ,50                      ,81                      ,84                      ,71                      ,42                      ,24                      
"    Mexico",-48                     ,-194                    ,287                     ,370                     ,-75                     ,720                     ,1290                   ,1417                   ,1850                   ,2267                   ,2457                   ,2525                   ,2379                   ,1585                   ,2721                   ,3893                   ,3760                   ,4350                   ,4431                   ,4034                   ,3834                   ,5343                   ,7102                   ,8634                   ,9606                   ,11634                  ,10239                  ,8157                   ,9379                   ,11994                  ,11566                  ,11061                  ,10602                  
"    Panama",566                     ,855                     ,664                     ,607                     ,990                     ,898                     ,718                     ,929                     ,1075                   ,955                     ,909                     ,833                     ,925                     ,1421                   ,1153                   ,1277                   ,1823                   ,2265                   ,553                     ,424                     ,679                     ,416                     ,379                     ,545                     ,452                     ,585                     ,656                     ,428                     ,255                     ,126                     ,200                     ,136                     ,-66                     
"    Other",-17                     ,-58                     ,5                       ,7                       ,19                      ,49                      ,18                      ,11                      ,2                       ,17                      ,32                      ,40                      ,46                      ,39                      ,46                      ,70                      ,88                      ,175                     ,128                     ,119                     ,198                     ,128                     ,123                     ,121                     ,94                      ,305                     ,185                     ,245                     ,340                     ,270                     ,316                     ,363                     ,239                     
"  Other Western Hemisphere",2105                   ,527                     ,306                     ,347                     ,598                     ,438                     ,1969                   ,2761                   ,3019                   ,3201                   ,4208                   ,3843                   ,5520                   ,5341                   ,5467                   ,7076                   ,6838                   ,9423                   ,10807                  ,11741                  ,10460                  ,13857                  ,22012                  ,27555                  ,28607                  ,41650                  ,50447                  ,51126                  ,56035                  ,59071                  ,57223                  ,62075                  ,61565                  
"    Bahamas",1162                   ,1126                   ,1028                   ,985                     ,867                     ,225                     ,308                     ,63                      ,438                     ,306                     ,756                     ,33                      ,364                     ,65                      ,-1                      ,156                     ,-252                    ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Barbados",5                       ,13                      ,16                      ,36                      ,10                      ,42                      ,81                      ,123                     ,163                     ,239                     ,299                     ,303                     ,358                     ,464                     ,605                     ,626                     ,1070                   ,1258                   ,1584                   ,1105                   ,606                     ,320                     ,695                     ,655                     ,506                     ,1415                   ,1535                   ,399                     ,1595                   ,1952                   ,1510                   ,1069                   ,1549                   
"    Bermuda",1395                   ,1342                   ,1507                   ,1311                   ,1579                   ,1702                   ,2214                   ,2652                   ,2067                   ,2016                   ,2090                   ,3040                   ,3272                   ,3023                   ,3362                   ,3965                   ,3658                   ,4655                   ,6446                   ,5250                   ,4569                   ,7089                   ,10086                  ,11547                  ,15586                  ,23176                  ,25033                  ,29425                  ,28649                  ,31952                  ,29343                  ,33491                  ,30389                  
