"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:49:04:500PM)"
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"    Mexico",5019                   ,4516                   ,4829                   ,5417                   ,5060                   ,5434                   ,6312                   ,8264                   ,10313                  ,12501                  ,13730                  ,15221                  ,16968                  ,16873                  ,19351                  ,24050                  ,26657                  ,37151                  ,39352                  ,52544                  ,56303                  ,56851                  ,63384                  ,73687                  ,82965                  ,91046                  ,87443                  ,84047                  ,85751                  ,85599                  ,104388                 ,102418                 ,107825                 
"    Panama",4413                   ,4863                   ,4460                   ,4069                   ,5227                   ,6294                   ,6489                   ,8913                   ,9289                   ,10484                  ,11038                  ,12043                  ,11905                  ,15123                  ,16335                  ,22016                  ,25924                  ,33493                  ,30758                  ,5141                   ,5842                   ,5409                   ,4919                   ,4826                   ,4636                   ,6171                   ,5963                   ,6060                   ,5156                   ,5849                   ,4709                   ,4636                   ,4687                   
"    Other",119                     ,75                      ,88                      ,110                     ,90                      ,188                     ,208                     ,94                      ,169                     ,175                     ,182                     ,233                     ,262                     ,273                     ,298                     ,413                     ,771                     ,1277                   ,1618                   ,970                     ,1267                   ,1274                   ,1469                   ,1563                   ,1240                   ,2362                   ,4663                   ,4013                   ,4082                   ,4130                   ,3994                   ,4209                   ,4202                   
"  Other Western Hemisphere",-1847                  ,-3352                  ,-2655                  ,2201                   ,8058                   ,15801                  ,19313                  ,22493                  ,28065                  ,29131                  ,36969                  ,41180                  ,48722                  ,48714                  ,60886                  ,62761                  ,68127                  ,96690                  ,108515                 ,142086                 ,159416                 ,166319                 ,209810                 ,223775                 ,246142                 ,348956                 ,389098                 ,501586                 ,518438                 ,541200                 ,566384                 ,596235                 ,639834                 
"    Bahamas",3121                   ,3720                   ,3345                   ,3796                   ,2959                   ,3766                   ,4462                   ,4577                   ,4004                   ,3864                   ,4167                   ,3138                   ,2808                   ,1768                   ,1876                   ,1569                   ,-282                    ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Barbados",55                      ,62                      ,54                      ,92                      ,204                     ,181                     ,314                     ,141                     ,252                     ,291                     ,340                     ,471                     ,391                     ,698                     ,848                     ,787                     ,929                     ,3030                   ,2141                   ,2240                   ,1817                   ,984                     ,3249                   ,3881                   ,4831                   ,2136                   ,3154                   ,5804                   ,7524                   ,11738                  ,11242                  ,12552                  ,14682                  
"    Bermuda",11519                  ,11400                  ,13322                  ,13343                  ,15717                  ,19166                  ,18916                  ,18297                  ,20169                  ,22262                  ,26736                  ,28666                  ,28355                  ,28374                  ,37091                  ,38071                  ,41908                  ,50847                  ,60114                  ,84969                  ,89473                  ,84508                  ,100856                 ,113222                 ,133480                 ,211708                 ,207547                 ,287933                 ,265524                 ,277313                 ,279555                 ,256137                 ,273792                 
"    Dominican Republic",188                     ,246                     ,236                     ,227                     ,220                     ,185                     ,183                     ,"(D)",529                     ,661                     ,779                     ,1039                   ,266                     ,330                     ,400                     ,488                     ,645                     ,968                     ,1143                   ,1116                   ,983                     ,816                     ,1028                   ,815                     ,789                     ,712                     ,806                     ,1193                   ,1432                   ,1216                   ,1088                   ,1183                   ,1224                   
"    Jamaica",386                     ,306                     ,250                     ,107                     ,80                      ,71                      ,111                     ,383                     ,625                     ,763                     ,892                     ,1049                   ,1167                   ,1287                   ,1583                   ,1952                   ,1960                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Netherlands Antilles",-19756                 ,-22169                 ,-23891                 ,-19878                 ,-16074                 ,-13137                 ,-10078                 ,-8378                  ,-4501                  ,-5072                  ,-1989                  ,-62                     ,6739                   ,6835                   ,7597                   ,4415                   ,3897                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Trinidad and Tobago",931                     ,862                     ,663                     ,476                     ,412                     ,381                     ,400                     ,"(D)",485                     ,510                     ,565                     ,691                     ,529                     ,673                     ,786                     ,639                     ,1004                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    United Kingdom Islands, Caribbean",1425                   ,2050                   ,3198                   ,3865                   ,4347                   ,4961                   ,4788                   ,6123                   ,5929                   ,5397                   ,5401                   ,5544                   ,7858                   ,8358                   ,10121                  ,14044                  ,17434                  ,29762                  ,33451                  ,36443                  ,48305                  ,61882                  ,82159                  ,83164                  ,84817                  ,105829                 ,134298                 ,160627                 ,191680                 ,193688                 ,218648                 ,263096                 ,287546                 
"    Other",284                     ,171                     ,168                     ,173                     ,193                     ,227                     ,214                     ,427                     ,574                     ,455                     ,75                      ,645                     ,608                     ,392                     ,583                     ,797                     ,632                     ,12083                  ,11665                  ,17317                  ,18839                  ,18129                  ,22518                  ,22693                  ,22224                  ,28572                  ,43293                  ,46029                  ,52278                  ,57244                  ,55850                  ,63267                  ,62591                  
"Africa",6487                   ,6230                   ,6076                   ,6130                   ,5748                   ,6032                   ,5474                   ,3936                   ,3650                   ,4427                   ,4469                   ,5469                   ,5760                   ,6017                   ,8162                   ,11330                  ,14061                  ,13118                  ,11891                  ,15574                  ,16040                  ,19835                  ,20356                  ,22756                  ,28158                  ,32607                  ,36746                  ,43941                  ,54816                  ,56996                  ,55849                  ,59569                  ,64233                  
"  Egypt",1229                   ,1416                   ,1521                   ,1905                   ,1792                   ,1644                   ,1596                   ,1541                   ,1231                   ,1246                   ,1334                   ,1510                   ,1090                   ,1093                   ,1366                   ,1603                   ,1963                   ,2210                   ,1998                   ,2557                   ,2682                   ,3524                   ,4526                   ,5475                   ,5564                   ,7023                   ,7804                   ,10257                  ,12599                  ,15428                  ,17341                  ,18795                  ,21320                  
"  Nigeria",334                     ,231                     ,345                     ,63                      ,793                     ,913                     ,680                     ,-42                     ,-401                    ,529                     ,301                     ,478                     ,605                     ,629                     ,1020                   ,1396                   ,1686                   ,233                     ,470                     ,260                     ,901                     ,1100                   ,1936                   ,1105                   ,1677                   ,1584                   ,3254                   ,4938                   ,5058                   ,5307                   ,5369                   ,5029                   ,5173                   
"  South Africa",2281                   ,2007                   ,1446                   ,1390                   ,1499                   ,1465                   ,1189                   ,699                     ,775                     ,868                     ,879                     ,900                     ,1132                   ,1422                   ,1495                   ,2499                   ,2344                   ,3474                   ,3562                   ,3070                   ,3334                   ,3580                   ,3913                   ,3969                   ,3980                   ,5240                   ,4999                   ,5447                   ,6017                   ,5870                   ,5471                   ,6377                   ,6181                   
"  Other",2642                   ,2576                   ,2764                   ,2772                   ,1663                   ,2011                   ,2008                   ,1739                   ,2045                   ,1784                   ,1955                   ,2581                   ,2933                   ,2873                   ,4281                   ,5833                   ,8068                   ,7202                   ,5861                   ,9687                   ,9122                   ,11631                  ,9981                   ,12206                  ,16937                  ,18759                  ,20689                  ,23300                  ,31143                  ,30390                  ,27669                  ,29368                  ,31559                  
"Middle East",3550                   ,4470                   ,4979                   ,4554                   ,4876                   ,4225                   ,3923                   ,3518                   ,3959                   ,4963                   ,5759                   ,6571                   ,6367                   ,7198                   ,8294                   ,8836                   ,10739                  ,10950                  ,10863                  ,13212                  ,15158                  ,16885                  ,18963                  ,21115                  ,24206                  ,28448                  ,31294                  ,33776                  ,34431                  ,35951                  ,40306                  ,46626                  ,52168                  
"  Israel",579                     ,636                     ,761                     ,744                     ,469                     ,688                     ,752                     ,827                     ,746                     ,826                     ,1335                   ,1604                   ,1483                   ,1831                   ,2045                   ,2071                   ,2837                   ,4777                   ,3735                   ,5690                   ,5726                   ,7020                   ,6171                   ,7978                   ,9168                   ,9487                   ,9444                   ,9018                   ,9464                   ,9008                   ,8977                   ,9758                   ,10801                  
"  Saudi Arabia",1495                   ,2131                   ,2274                   ,2325                   ,2332                   ,2082                   ,1700                   ,1655                   ,1899                   ,2303                   ,2351                   ,2587                   ,2100                   ,2741                   ,3476                   ,3821                   ,4672                   ,3336                   ,3661                   ,3570                   ,4930                   ,3140                   ,3657                   ,3830                   ,4410                   ,5012                   ,5126                   ,7530                   ,7436                   ,8132                   ,9500                   ,10084                  ,10064                  
"  United Arab Emirates",511                     ,716                     ,1006                   ,813                     ,884                     ,766                     ,774                     ,391                     ,409                     ,416                     ,429                     ,524                     ,357                     ,500                     ,598                     ,567                     ,674                     ,540                     ,683                     ,834                     ,1087                   ,1934                   ,2962                   ,2285                   ,2670                   ,2967                   ,3337                   ,4118                   ,4935                   ,6603                   ,8481                   ,11717                  ,15035                  
