"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:41:50:703PM)"
"Foreign Direct Investment in the U.S.,Financial Inflow Transactions Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"Australia, New Zealand, and South Africa",77                      ,272                     ,120                     ,205                     ,1141                   ,1175                   ,2718                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Latin America and Other Western Hemisphere",2301                   ,2116                   ,1895                   ,348                     ,520                     ,1243                   ,965                     ,-2374                  ,2944                   ,4069                   ,5199                   ,-4490                  ,3267                   ,3462                   ,3549                   ,2886                   ,1990                   ,4854                   ,-2569                  ,16929                  ,12741                  ,8232                   ,10342                  ,9186                   ,-2945                  ,-3169                  ,11808                  ,2484                   ,8822                   ,7990                   ,13424                  ,21137                  ,5143                   ,16726                  ,15160                  
"  South and Central America",327                     ,160                     ,646                     ,-18                     ,100                     ,507                     ,832                     ,531                     ,368                     ,1095                   ,992                     ,834                     ,970                     ,-1261                  ,955                     ,592                     ,1090                   ,470                     ,1831                   ,1422                   ,4749                   ,-1606                  ,4461                   ,4610                   ,2915                   ,2080                   ,2166                   ,-284                    ,596                     ,1093                   ,2824                   ,7200                   ,243                     ,3141                   ,3623                   
"    Brazil","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",70                      ,-8                      ,145                     ,-46                     ,111                     ,18                      ,191                     ,-13                     ,116                     ,-64                     ,53                      ,-85                     ,116                     ,106                     ,-290                    ,342                     ,-334                    ,668                     ,985                     ,-468                    ,492                     ,278                     ,-1539                  ,2718                   ,3681                   ,-202                    ,-142                    ,-468                    
"    Mexico","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",22                      ,38                      ,107                     ,224                     ,167                     ,647                     ,-110                    ,1058                   ,-263                    ,-47                     ,331                     ,871                     ,1273                   ,5062                   ,-716                    ,2349                   ,2173                   ,-629                    ,-19                     ,2265                   ,291                     ,731                     ,2469                   ,-123                    ,2432                   ,776                     ,3508                   ,2421                   
"    Panama",210                     ,96                      ,335                     ,-82                     ,-158                    ,159                     ,60                      ,400                     ,220                     ,148                     ,870                     ,576                     ,407                     ,-494                    ,-210                    ,329                     ,860                     ,278                     ,988                     ,-226                    ,-1087                  ,297                     ,1871                   ,2664                   ,1403                   ,895                     ,1618                   ,1023                   ,188                     ,144                     ,-553                    ,87                      ,-120                    ,307                     ,-162                    
"    Venezuela","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-1                      ,124                     ,616                     ,-72                     ,11                      ,-110                    ,-835                    ,135                     ,111                     ,146                     ,-267                    ,-77                     ,416                     ,647                     ,-347                    ,123                     ,-86                     ,624                     ,308                     ,-1362                  ,-2032                  ,-1465                  ,158                     ,420                     ,503                     ,322                     ,-590                    ,958                     
"    Other",117                     ,65                      ,311                     ,65                      ,258                     ,348                     ,772                     ,41                      ,-7                      ,79                      ,16                      ,-32                     ,9                       ,-14                     ,-15                     ,299                     ,195                     ,75                      ,134                     ,-158                    ,22                      ,-550                    ,-224                    ,193                     ,849                     ,-89                     ,113                     ,-58                     ,863                     ,-138                    ,362                     ,497                     ,-533                    ,58                      ,874                     
"  Other Western Hemisphere",1974                   ,1956                   ,1249                   ,365                     ,420                     ,735                     ,133                     ,-2905                  ,2576                   ,2974                   ,4208                   ,-5324                  ,2297                   ,4723                   ,2594                   ,2294                   ,900                     ,4384                   ,-4400                  ,15507                  ,7991                   ,9839                   ,5881                   ,4577                   ,-5861                  ,-5249                  ,9642                   ,2769                   ,8226                   ,6897                   ,10599                  ,13937                  ,4900                   ,13586                  ,11538                  
"    Bahamas","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-14                     ,"(D)","(D)",1573                   ,-2533                  ,1295                   ,678                     ,149                     ,235                     ,664                     ,-50                     ,-47                     ,-191                    ,-51                     ,-44                     ,-346                    ,-70                     ,59                      ,-598                    ,150                     ,94                      ,-473                    ,450                     ,-456                    ,-72                     ,2                       ,30                      ,95                      
"    Bermuda",249                     ,326                     ,304                     ,-212                    ,-64                     ,436                     ,13                      ,15                      ,22                      ,-110                    ,741                     ,28                      ,-378                    ,-16                     ,378                     ,501                     ,-144                    ,2750                   ,-161                    ,10338                  ,2965                   ,-6467                  ,-91                     ,-3470                  ,-597                    ,-5380                  ,7047                   ,-4839                  ,4522                   ,1084                   ,5371                   ,-1473                  ,-3029                  ,3761                   ,4081                   
"    Curaçao","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",243                     ,943                     ,67                      ,-3                      
"    Netherlands Antilles",1406                   ,1446                   ,959                     ,489                     ,794                     ,198                     ,555                     ,691                     ,1967                   ,-126                    ,4456                   ,-3883                  ,1121                   ,-686                    ,1190                   ,-985                    ,-1242                  ,-2318                  ,-2502                  ,-89                     ,911                     ,468                     ,-97                     ,-330                    ,-578                    ,1723                   ,-919                    ,2333                   ,1338                   ,169                     ,792                     ,"n.s.","n.s.","n.s.","n.s."
"    United Kingdom Islands, Caribbean",204                     ,218                     ,60                      ,131                     ,-318                    ,66                      ,-559                    ,-3763                  ,144                     ,3201                   ,-2552                  ,1522                   ,36                      ,4882                   ,1378                   ,2444                   ,1841                   ,3636                   ,-1469                  ,4137                   ,3800                   ,12961                  ,2094                   ,3757                   ,-3936                  ,-42                     ,3845                   ,8302                   ,3674                   ,2481                   ,5627                   ,14859                  ,7415                   ,10204                  ,7292                   
"    Other",116                     ,-34                     ,-75                     ,-43                     ,8                       ,36                      ,125                     ,166                     ,"(D)","(D)",-10                     ,-459                    ,223                     ,-135                    ,-502                    ,99                      ,-219                    ,365                     ,-221                    ,1312                   ,366                     ,2921                   ,4320                   ,4690                   ,-810                    ,-953                    ,-480                    ,-3121                  ,-836                    ,2714                   ,-735                    ,378                     ,-431                    ,-475                    ,73                      
"Africa","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",49                      ,-41                     ,55                      ,-8                      ,223                     ,36                      ,61                      ,44                      ,-117                    ,-101                    ,443                     ,-601                    ,423                     ,666                     ,-308                    ,-9                      ,-34                     ,-605                    ,323                     ,255                     ,-103                    ,958                     ,-672                    ,1085                   ,1988                   ,239                     ,463                     ,205                     
"  South Africa","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)","(D)",-11                     ,-16                     ,-87                     ,1                       ,15                      ,-9                      ,1                       ,-27                     ,-13                     ,148                     ,113                     ,216                     ,-104                    ,-71                     ,-44                     ,-100                    ,-226                    ,131                     ,-325                    ,438                     ,-217                    ,126                     ,261                     ,74                      ,509                     ,-108                    
