"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:39:13:547PM)"
"Foreign Direct Investment in the U.S.,Foreign Direct Investment Position in the United States on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Israel",324                     ,312                     ,428                     ,449                     ,525                     ,494                     ,567                     ,632                     ,587                     ,630                     ,640                     ,1391                   ,1365                   ,1886                   ,1965                   ,1883                   ,1604                   ,2180                   ,2337                   ,2485                   ,3012                   ,2882                   ,3101                   ,3316                   ,3921                   ,4231                   ,"(D)",6312                   ,6752                   ,8122                   ,8714                   ,9290                   ,9547                   ,10052                  ,8982                   
"  Kuwait","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",3898                   ,3954                   ,4280                   ,1805                   ,1663                   ,2768                   ,2820                   ,2821                   ,2525                   ,2640                   ,2964                   ,"(D)",850                     ,908                     ,964                     ,"(D)","(D)","(D)",568                     ,893                     ,855                     ,371                     ,358                     ,347                     ,892                     ,772                     ,1050                   ,1070                   
"  Lebanon","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(*)",-7                      ,-9                      ,-16                     ,-23                     ,-2                      ,-4                      ,-7                      ,-9                      ,-11                     ,1                       ,-1                      ,-1                      ,1                       ,1                       ,"(*)","(*)","(*)",-6                      ,-7                      ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",-27                     
"  Saudi Arabia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",257                     ,1826                   ,2455                   ,1811                   ,1624                   ,"(D)","(D)","(D)",1211                   ,1398                   ,1476                   ,"(D)",945                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  United Arab Emirates","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",43                      ,111                     ,112                     ,99                      ,74                      ,104                     ,116                     ,97                      ,98                      ,87                      ,74                      ,42                      ,13                      ,64                      ,45                      ,42                      ,46                      ,23                      ,"(D)","(D)",1039                   ,2136                   ,2253                   ,747                     ,1451                   ,2806                   ,2253                   ,2700                   
"  Other",592                     ,3276                   ,3974                   ,3997                   ,4811                   ,4460                   ,4303                   ,142                     ,100                     ,119                     ,86                      ,135                     ,"(D)","(D)","(D)",93                      ,95                      ,79                      ,-101                    ,71                      ,"(D)","(D)",178                     ,157                     ,142                     ,265                     ,221                     ,1269                   ,1630                   ,"(D)","(D)","(D)","(D)","(D)","(D)"
"Asia and Pacific","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",42108                  ,60992                  ,75053                  ,92948                  ,105873                 ,108965                 ,112289                 ,113048                 ,122774                 ,137533                 ,146109                 ,154111                 ,178749                 ,192647                 ,179228                 ,192457                 ,204708                 ,230231                 ,246585                 ,269772                 ,294976                 ,325431                 ,323404                 ,346605                 ,395241                 ,434296                 ,484259                 ,512906                 
"  Australia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",5369                   ,7171                   ,4962                   ,6542                   ,6011                   ,6957                   ,7089                   ,8838                   ,10356                  ,14968                  ,11721                  ,10520                  ,15616                  ,18775                  ,19465                  ,34197                  ,37059                  ,40107                  ,36392                  ,38777                  ,35595                  ,37399                  ,36760                  ,35632                  ,59362                  ,49630                  ,47616                  ,47340                  
"  China","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",385                     ,284                     ,435                     ,574                     ,785                     ,584                     ,1105                   ,1624                   ,3300                   ,3598                   ,6927                   ,8451                   ,9465                   
"  Hong Kong","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",941                     ,895                     ,1124                   ,1511                   ,1162                   ,1377                   ,1518                   ,1505                   ,1511                   ,1711                   ,1656                   ,1458                   ,885                     ,1493                   ,1292                   ,2005                   ,1984                   ,2744                   ,3467                   ,2992                   ,3809                   ,4217                   ,4236                   ,4440                   ,7605                   ,10151                  ,7135                   ,7604                   
